time, met, lat, lon, alt
1490710746, 0.000, 56.462, -2.9707, 203
1490710839, 0.026, 56.462, -2.9707, 523
1490710868, 0.034, 56.462, -2.9707, 523
1490710882, 0.038, 56.462, -2.9707, 707
1490710935, 0.053, 56.462, -2.9707, 1203
1490710959, 0.059, 56.462, -2.9707, 1371
1490710987, 0.067, 56.462, -2.9707, 1371
1490711002, 0.071, 56.462, -2.9707, 1539
1490711043, 0.083, 56.462, -2.9707, 1875
1490711084, 0.094, 56.462, -2.9707, 2211
1490711098, 0.098, 56.462, -2.9707, 2211
1490711113, 0.102, 56.462, -2.9707, 2379
1490711151, 0.113, 56.462, -2.9707, 2715
1490711199, 0.126, 56.462, -2.9707, 3051
1490711213, 0.130, 56.462, -2.9707, 3219
1490711259, 0.143, 56.462, -2.9707, 3571
1490711313, 0.158, 56.462, -2.9707, 3899
1490711327, 0.161, 56.462, -2.9707, 3899
1490711367, 0.173, 56.462, -2.9707, 4403
1490711421, 0.188, 56.462, -2.9707, 4739
1490711439, 0.193, 56.462, -2.9707, 4907
1490711475, 0.203, 56.462, -2.9707, 5075
1490711516, 0.214, 56.462, -2.9707, 5243
1490711531, 0.218, 56.462, -2.9707, 5579
1490711559, 0.226, 56.462, -2.9707, 5747
1490711583, 0.233, 56.462, -2.9707, 5915
1490711624, 0.244, 56.462, -2.9707, 6083
1490711639, 0.248, 56.462, -2.9707, 6251
1490711679, 0.259, 56.462, -2.9707, 6603
1490711693, 0.263, 56.462, -2.9707, 6763
1490711732, 0.274, 56.462, -2.9707, 6931
1490711747, 0.278, 56.462, -2.9707, 7099
1490711799, 0.293, 56.462, -2.9707, 7435
1490711813, 0.296, 56.462, -2.9707, 7435
1490711842, 0.304, 56.462, -2.9707, 7771
1490711907, 0.323, 56.462, -2.9707, 8275
1490711921, 0.326, 56.462, -2.9707, 8443
1490711950, 0.334, 56.462, -2.9707, 8443
1490711965, 0.339, 56.462, -2.9707, 8611
1490712015, 0.353, 56.462, -2.9707, 9115
1490712039, 0.359, 56.462, -2.9707, 9283
1490712067, 0.367, 56.462, -2.9707, 9283
1490712087, 0.373, 56.462, -2.9707, 9451
1490712124, 0.383, 56.462, -2.9707, 9451
